"","x"
"1",32765
"2",217234
"3",220521
"4",221465
"5",221504
"6",221566
"7",221595
"8",221604
"9",221817
"10",221839
"11",221849
"12",221960
"13",440004
"14",440099
"15",440108
"16",440133
"17",440191
"18",440195
"19",440197
"20",440220
"21",440242
"22",440278
"23",440289
"24",440300
"25",440328
"26",440360
"27",440366
"28",440376
"29",440394
"30",440411
"31",440420
"32",440427
"33",440429
"34",440434
"35",440435
"36",440436
"37",440437
"38",440438
"39",440439
"40",440441
"41",440443
"42",440448
"43",440450
"44",440452
"45",440453
"46",440457
"47",440465
"48",440472
"49",440473
"50",440479
"51",440484
"52",440485
"53",440488
"54",440490
"55",440494
"56",440498
"57",440499
"58",440500
"59",440504
"60",440510
"61",440513
"62",440517
"63",440518
"64",440519
"65",440521
"66",440523
"67",440524
"68",440525
"69",440528
"70",440529
"71",440532
"72",440538
"73",440539
"74",440550
"75",440554
"76",440557
"77",440558
"78",440562
"79",440565
"80",440567
"81",440570
"82",440571
"83",440578
"84",440581
"85",440585
"86",440589
"87",440591
"88",440594
"89",440595
"90",440605
"91",440609
"92",440611
"93",440612
"94",440616
"95",440618
"96",440625
"97",440635
"98",440654
"99",440662
"100",440663
"101",440664
"102",440666
"103",440667
"104",440668
"105",440669
"106",440670
"107",440671
"108",440678
"109",440680
"110",440683
"111",440684
"112",440685
"113",440701
"114",440703
"115",440706
"116",440712
"117",440713
"118",440724
"119",440725
"120",440729
"121",440730
"122",440731
"123",440737
"124",440745
"125",440747
"126",440750
"127",440752
"128",440754
"129",440760
"130",440763
"131",440764
"132",440772
"133",440774
"134",440779
"135",440790
"136",440798
"137",440804
"138",440807
"139",440812
"140",440813
"141",440821
"142",440825
"143",440833
"144",440839
"145",440845
"146",440847
"147",440853
"148",440865
"149",440867
"150",440868
"151",440869
"152",440871
"153",440883
"154",440885
"155",440898
"156",440906
"157",440923
"158",440924
"159",440929
"160",440932
"161",440933
"162",440942
"163",440955
"164",440962
"165",540001
"166",540005
"167",540009
"168",540012
"169",540015
"170",540016
"171",540018
"172",540019
"173",540020
"174",540021
"175",540023
"176",540025
"177",540026
"178",540034
"179",540036
"180",540037
"181",540038
"182",540039
"183",540042
"184",540045
"185",540047
"186",540048
"187",540051
"188",540056
"189",540057
"190",540060
"191",540065
"192",540068
"193",540070
"194",540071
"195",540075
"196",540077
"197",540080
"198",540082
"199",540085
"200",540086
"201",540090
"202",540091
"203",540093
"204",540094
"205",540100
"206",540104
"207",540106
"208",540108
"209",540114
"210",540117
"211",540120
"212",540121
"213",540127
"214",540130
"215",540131
"216",540142
"217",540152
"218",540154
"219",540156
"220",540159
"221",540160
"222",540161
"223",540163
"224",540167
"225",540170
"226",540174
"227",540175
"228",540178
"229",540180
"230",540181
"231",540183
"232",540184
"233",540185
"234",540187
"235",540189
"236",540194
"237",540195
"238",540196
"239",540212
"240",540213
"241",540218
"242",540220
"243",540221
"244",540226
"245",540228
"246",540236
"247",540238
"248",540239
"249",540240
"250",540241
"251",540248
"252",540249
"253",540254
"254",540255
"255",540256
"256",540258
"257",540259
"258",540262
"259",540263
"260",540265
"261",540268
"262",540271
"263",540272
"264",540273
"265",540274
"266",540275
"267",540276
"268",540277
"269",540278
"270",540279
"271",540282
"272",540286
"273",540287
"274",540288
"275",540291
"276",540293
"277",540294
"278",540295
"279",540296
"280",540297
"281",540299
"282",540300
"283",540301
"284",540302
"285",540303
"286",540304
"287",540306
"288",540310
"289",540311
"290",540320
"291",540321
"292",540324
"293",540325
"294",540326
"295",540328
"296",540329
"297",540332
"298",540335
"299",540337
"300",540338
"301",540341
"302",540346
"303",540347
"304",540350
"305",540354
"306",540355
"307",540357
"308",540359
