"","x"
"1","202200"
"2","202278"
"3","202735"
"4","204015"
"5","207224"
"6","208572"
"7","210100"
"8","210290"
"9","210374"
"10","210701"
"11","211038"
"12","211101"
"13","211253"
"14","211274"
"15","211669"
"16","212019"
"17","212020"
"18","212794"
"19","212856"
"20","212857"
"21","213163"
"22","213704"
"23","213708"
"24","215211"
"25","215537"
"26","215622"
"27","216011"
"28","216028"
"29","216806"
"30","216845"
"31","217008"
"32","217173"
"33","218219"
"34","218572"
"35","219044"
"36","219089"
"37","219392"
"38","219658"
"39","219676"
"40","219944"
"41","219949"
"42","219954"
"43","220024"
"44","220043"
"45","220104"
"46","220152"
"47","220184"
"48","220186"
"49","220244"
"50","220299"
"51","220513"
"52","220523"
"53","220531"
"54","220566"
"55","220597"
"56","220649"
"57","220740"
"58","220758"
"59","220796"
"60","220865"
"61","220889"
"62","220913"
"63","220914"
"64","220927"
"65","220947"
"66","220963"
"67","220976"
"68","220989"
"69","221018"
"70","221036"
"71","221050"
"72","221080"
"73","221085"
"74","221181"
"75","221183"
"76","221206"
"77","221212"
"78","221228"
"79","221229"
"80","221256"
"81","221261"
"82","221262"
"83","221273"
"84","221292"
"85","221298"
"86","221448"
"87","221610"
"88","221637"
"89","221680"
"90","221698"
"91","221715"
"92","221910"
"93","221916"
"94","222067"
"95","222093"
"96","222112"
"97","222121"
"98","35780"
"99","37542"
"100","431100"
"101","431106"
"102","431224"
"103","431230"
"104","440024"
"105","440042"
"106","440066"
"107","440072"
"108","440120"
"109","440138"
"110","440149"
"111","440165"
"112","440166"
"113","440181"
"114","440182"
"115","440184"
"116","440196"
"117","440199"
"118","440200"
"119","440214"
"120","440215"
"121","440216"
"122","440237"
"123","440243"
"124","440247"
"125","440254"
"126","440263"
"127","440266"
"128","440292"
"129","440295"
"130","440301"
"131","440307"
"132","440311"
"133","440323"
"134","440329"
"135","440330"
"136","440335"
"137","440336"
"138","440337"
"139","440340"
"140","440355"
"141","440359"
"142","440361"
"143","440368"
"144","440392"
"145","440393"
"146","440423"
